IP,Timestamp,Method,URL,Status,Response_Time
10.0.0.5,2026-09-14 10:37:59,GET,/products,500,846
10.0.0.5,2026-09-14 10:38:29,GET,/contact,500,134
192.168.1.10,2026-09-14 10:38:59,GET,/contact,200,520
192.168.1.11,2026-09-14 10:39:29,GET,/login,200,559
192.168.1.10,2026-09-14 10:39:59,POST,/about,404,96
192.168.1.11,2026-09-14 10:40:29,POST,/,500,229
10.0.0.5,2026-09-14 10:40:59,GET,/home,201,650
10.0.0.5,2026-09-14 10:41:29,GET,/products,200,782
192.168.1.10,2026-09-14 10:41:59,POST,/home,200,76
10.0.0.5,2026-09-14 10:42:29,POST,/products,500,944
172.16.0.8,2026-09-14 10:42:59,GET,/home,200,524
192.168.1.10,2026-09-14 10:43:29,GET,/,200,694
172.16.0.8,2026-09-14 10:43:59,POST,/products,200,212
192.168.1.11,2026-09-14 10:44:29,GET,/home,404,880
192.168.1.12,2026-09-14 10:44:59,POST,/,500,283
10.0.0.5,2026-09-14 10:45:29,POST,/login,200,223
192.168.1.12,2026-09-14 10:45:59,GET,/,200,994
192.168.1.11,2026-09-14 10:46:29,POST,/home,201,320
192.168.1.10,2026-09-14 10:46:59,POST,/products,200,925
192.168.1.10,2026-09-14 10:47:29,GET,/home,200,815
192.168.1.11,2026-09-14 10:47:59,POST,/about,200,107
172.16.0.8,2026-09-14 10:48:29,POST,/,201,66
172.16.0.8,2026-09-14 10:48:59,GET,/contact,500,274
10.0.0.5,2026-09-14 10:49:29,GET,/login,200,375
192.168.1.11,2026-09-14 10:49:59,GET,/,500,152
192.168.1.10,2026-09-14 10:50:29,GET,/,200,912
192.168.1.11,2026-09-14 10:50:59,GET,/login,200,520
192.168.1.11,2026-09-14 10:51:29,GET,/products,404,249
192.168.1.12,2026-09-14 10:51:59,POST,/home,200,437
192.168.1.10,2026-09-14 10:52:29,GET,/login,201,795
192.168.1.11,2026-09-14 10:52:59,GET,/home,200,738
10.0.0.5,2026-09-14 10:53:29,GET,/contact,201,635
192.168.1.11,2026-09-14 10:53:59,POST,/contact,200,392
192.168.1.10,2026-09-14 10:54:29,POST,/products,201,476
192.168.1.12,2026-09-14 10:54:59,POST,/login,200,575
172.16.0.8,2026-09-14 10:55:29,POST,/contact,404,548
192.168.1.11,2026-09-14 10:55:59,GET,/about,201,796
10.0.0.5,2026-09-14 10:56:29,POST,/home,201,872
192.168.1.11,2026-09-14 10:56:59,POST,/about,500,650
192.168.1.11,2026-09-14 10:57:29,POST,/about,200,248
172.16.0.8,2026-09-14 10:57:59,POST,/about,200,363
192.168.1.10,2026-09-14 10:58:29,POST,/,404,556
172.16.0.8,2026-09-14 10:58:59,GET,/home,500,337
10.0.0.5,2026-09-14 10:59:29,GET,/home,201,808
172.16.0.8,2026-09-14 10:59:59,POST,/contact,404,649
172.16.0.8,2026-09-14 11:00:29,POST,/home,404,977
192.168.1.10,2026-09-14 11:00:59,POST,/contact,201,76
10.0.0.5,2026-09-14 11:01:29,POST,/login,200,943
10.0.0.5,2026-09-14 11:01:59,POST,/about,500,913
192.168.1.10,2026-09-14 11:02:29,POST,/,200,311
172.16.0.8,2026-09-14 11:02:59,POST,/home,200,652
192.168.1.11,2026-09-14 11:03:29,GET,/about,201,432
192.168.1.10,2026-09-14 11:03:59,GET,/contact,200,442
192.168.1.12,2026-09-14 11:04:29,POST,/login,500,483
10.0.0.5,2026-09-14 11:04:59,POST,/products,201,288
192.168.1.11,2026-09-14 11:05:29,GET,/home,404,54
10.0.0.5,2026-09-14 11:05:59,POST,/products,200,303
10.0.0.5,2026-09-14 11:06:29,GET,/home,500,800
10.0.0.5,2026-09-14 11:06:59,GET,/home,200,724
172.16.0.8,2026-09-14 11:07:29,POST,/about,200,517
172.16.0.8,2026-09-14 11:07:59,POST,/login,200,805
10.0.0.5,2026-09-14 11:08:29,GET,/products,200,143
172.16.0.8,2026-09-14 11:08:59,GET,/,200,91
192.168.1.11,2026-09-14 11:09:29,POST,/contact,201,485
192.168.1.12,2026-09-14 11:09:59,POST,/contact,201,955
192.168.1.10,2026-09-14 11:10:29,POST,/products,500,411
